name,knownFor,intro,longBio,achievement,birthYear,deathYear,birthCity,birthCountry,nationality,century,contributionYear,era,classification,gender,education,awards,institutions,notableWorks,influencedBy,influenced,funFacts,latitude,longitude,imageLocal
Niklaus Wirth,Niklaus Emil Wirth was a Swiss computer scientist,"Niklaus Wirth (born 1934) is a Swiss computer scientist known for his contributions to programming languages and software engineering. He designed several influential programming languages, including Pascal and Modula-2. Wirth emphasized simplicity, clarity, and reliability in language design, and his work has had a significant impact on the field of programming language development.","Niklaus Emil Wirth was a Swiss computer scientist. He designed several programming languages, including Pascal, and pioneered several classic topics in software engineering. In 1984, he won the Turing Award, generally recognized as the highest distinction in computer science, ""for developing a sequence of innovative computer languages"".","Created the Pascal programming language, popularizing structured programming principles. He developed efficient compilers and later designed Modula and Oberon languages. Wirth received the Turing Award in 1984 for his influential contributions to programming languages and compiler design.",1934,2024,Winterthur,Switzerland,Switzerland,20,1970,Personal Computing Revolution,"[""programming languages"", ""software engineering""]",male,"[{""degree"": ""Master of Science"", ""field"": null, ""institution"": ""Laval University"", ""year"": 1960}, {""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""University of California, Berkeley"", ""year"": 1963}, {""degree"": ""Bachelor of Science"", ""field"": null, ""institution"": ""ETH Zurich"", ""year"": 1959}]","[{""name"": ""Pour le Mérite for Sciences and Arts order"", ""year"": null}, {""name"": ""Computer Pioneer Award"", ""year"": 1987}, {""name"": ""honorary doctorate"", ""year"": 1997}, {""name"": ""Computer History Museum Fellow"", ""year"": 2004}, {""name"": ""honorary doctorate of the Masaryk University"", ""year"": 1999}, {""name"": ""Turing Award"", ""year"": 1984}, {""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""honorary doctorate at the Laval University"", ""year"": 1987}, {""name"": ""IEEE Emanuel R. Piore Award"", ""year"": 1983}, {""name"": ""Programming Languages Achievement Award"", ""year"": 2007}, {""name"": ""Marcel Benoist Prize"", ""year"": 1989}]","[{""name"": ""PARC"", ""role"": null, ""years"": null}, {""name"": ""University of Zurich"", ""role"": null, ""years"": null}, {""name"": ""ETH Zurich"", ""role"": null, ""years"": ""1968–1999""}, {""name"": ""Stanford University"", ""role"": null, ""years"": null}]","[{""title"": ""ALGOL W"", ""type"": ""other"", ""year"": 1966}, {""title"": ""Oberon"", ""type"": ""other"", ""year"": null}, {""title"": ""Modula"", ""type"": ""other"", ""year"": null}, {""title"": ""PL360"", ""type"": ""other"", ""year"": null}, {""title"": ""Modula-2"", ""type"": ""other"", ""year"": 1978}]","[""Edsger W. Dijkstra""]",[],"[""In 1984, he won the Turing Award, generally recognized as the highest distinction in computer science, \""for developing a sequence of innovative computer languages\"".""]",47.4983,8.7233,https://pioneersincs.blob.core.windows.net/pioneers-images/niklaus_wirth.webp
Alan Kay,Alan Curtis Kay is an American computer scientist who pioneered work on object-oriented programming and,"Alan Kay (born 1940) is an American computer scientist and pioneer in the field of personal computing. He is known for his work on object-oriented programming, graphical user interfaces, and the development of the Smalltalk programming language. Kay's contributions have greatly influenced modern computing and user interface design.","Alan Curtis Kay is an American computer scientist who pioneered work on object-oriented programming and windowing graphical user interface (GUI) design. At Xerox PARC he led the design and development of the first modern windowed computer desktop interface. There he also led the development of the influential object-oriented programming language Smalltalk, both personally designing most of the early versions of the language and coining the term ""object-oriented.""
He has been elected a Fellow of the American Academy of Arts and Sciences, the National Academy of Engineering, and the Royal Society of Arts. He received the Turing Award in 2003.","Known for his work on the development of object-oriented programming and graphical user interfaces. Kay is particularly associated with his work at Xerox PARC (Palo Alto Research Center), where he played a key role in the development of the Smalltalk programming language and the influential Dynabook concept, which envisioned a portable, interactive computer for educational purposes. Kay's ideas and research have greatly influenced the design of modern computing systems and user interfaces.",1940,,Springfield,U.S.A,United States,20,1970,Personal Computing Revolution,"[""programming languages"", ""software engineering"", ""human-computer interaction""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Brooklyn Technical High School"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""University of Utah"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""University of Colorado"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""University of Colorado Boulder"", ""year"": null}]","[{""name"": ""Kyoto Prize in Advanced Technology"", ""year"": 2004}, {""name"": ""ACM Software System Award"", ""year"": 1987}, {""name"": ""honorary doctorate of the University of Murcia"", ""year"": 2010}, {""name"": ""ACM Fellow"", ""year"": 2008}, {""name"": ""Turing Award"", ""year"": 2003}, {""name"": ""Fellow of the American Association for the Advancement of Science"", ""year"": 2008}, {""name"": ""Charles Stark Draper Prize"", ""year"": 2004}, {""name"": ""Computer History Museum Fellow"", ""year"": 1999}]","[{""name"": ""Kyoto University"", ""role"": null, ""years"": null}, {""name"": ""University of California, Los Angeles"", ""role"": null, ""years"": null}, {""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}, {""name"": ""Viewpoints Research Institute"", ""role"": null, ""years"": null}, {""name"": ""Apple Inc."", ""role"": null, ""years"": null}, {""name"": ""PARC"", ""role"": null, ""years"": null}, {""name"": ""United States Air Force"", ""role"": null, ""years"": null}]",[],[],[],"[""At Xerox PARC he led the design and development of the first modern windowed computer desktop interface.""]",42.1013,-72.5898,https://pioneersincs.blob.core.windows.net/pioneers-images/alan_kay.webp
Lynn Conway,"Lynn Ann Conway was an American computer scientist, electrical engineer, and transgender rights activist","Lynn Conway (born 1938) is an American computer scientist and transgender activist. She made significant contributions to computer architecture and VLSI design methodologies. Conway developed the generalized dynamic instruction handling technique, which revolutionized the design of modern computer processors. She is also a prominent advocate for transgender rights and visibility in the tech industry.","Lynn Ann Conway was an American computer scientist, electrical engineer, and transgender rights activist.","She worked at IBM in the 1960s and invented generalized dynamic instruction handling, a key advance used in out-of-order execution, used by most modern computer processors to improve performance",1938,2024,Mount Vernon,U.S.A,United States,20,1971,Personal Computing Revolution,"[""hardware""]",female,"[{""degree"": null, ""field"": null, ""institution"": ""Fu Foundation School of Engineering and Applied Science"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Massachusetts Institute of Technology"", ""year"": 1958}]","[{""name"": ""Computer Pioneer Award"", ""year"": 2009}, {""name"": ""NCWIT Pioneer in Tech Award"", ""year"": 2019}, {""name"": ""Fellow of the American Association for the Advancement of Science"", ""year"": 2016}, {""name"": ""Harold Pender Award"", ""year"": 1984}, {""name"": ""John Price Wetherill Medal"", ""year"": 1985}, {""name"": ""Society of Women Engineers Achievement Award"", ""year"": 1990}, {""name"": ""Computer History Museum Fellow"", ""year"": 2014}, {""name"": ""honorary doctor of Syracuse University"", ""year"": 2024}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2023}, {""name"": ""IEEE Maxwell Award"", ""year"": 2015}]","[{""name"": ""PARC"", ""role"": null, ""years"": ""1973–1982""}, {""name"": ""University of Michigan"", ""role"": null, ""years"": null}, {""name"": ""IBM"", ""role"": null, ""years"": null}]",[],[],[],"[""In the 1960s, while working at IBM, Conway invented generalized dynamic instruction handling, a key advancement used in out-of-order execution, used by most modern computer processors to improve performance.""]",40.9123,-73.8371,https://pioneersincs.blob.core.windows.net/pioneers-images/lynn_conway.webp
Masatoshi Shima,Masatoshi Shima  is a Japanese electronics engineer,"Masatoshi Shima (born 1943) is a Japanese electrical engineer and computer architect. He was a key member of the team that developed the Intel 4004, the world's first commercially available microprocessor. Shima's contributions to microprocessor design have been instrumental in shaping the field of computer architecture and advancing the capabilities of modern computing devices.","Masatoshi Shima  is a Japanese electronics engineer. He was one of the architects of the world's first microprocessor, the Intel 4004. In 1968, Shima worked for Busicom in Japan, and did the logic design for a specialized CPU to be translated into three-chip custom chips. In 1969, he worked with Intel's Ted Hoff and Stanley Mazor to reduce the three-chip Busicom proposal into a one-chip architecture. In 1970, that architecture was transformed into a silicon chip, the Intel 4004, by Federico Faggin, with Shima's assistance in logic design.","Designed the Intel 4004, the first commercial microprocessor,as well as the Intel 8080, Zilog Z80 and Zilog Z8000 microprocessors, and the Intel 8259, 8255, 8253, 8257 and 8251 chips.",1943,,Shizuoka,Japan,Japan,20,1971,Personal Computing Revolution,"[""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Tohoku University"", ""year"": 1967}]","[{""name"": ""Computer History Museum Fellow"", ""year"": 2009}, {""name"": ""Kyoto Prize in Advanced Technology"", ""year"": 1997}]","[{""name"": ""University of Aizu"", ""role"": null, ""years"": null}, {""name"": ""Busicom"", ""role"": null, ""years"": null}, {""name"": ""Intel"", ""role"": null, ""years"": null}, {""name"": ""Zilog"", ""role"": null, ""years"": null}]",[],[],[],"[""He was one of the architects of the world's first microprocessor, the Intel 4004.""]",34.9753,138.3827,https://pioneersincs.blob.core.windows.net/pioneers-images/masatoshi_shima.webp
Jacek Karpinski,Jacek Karpiński was a Polish pioneer in computer engineering and computer science,"Jacek Karpinski (born 1934) is a Polish mathematician and computer scientist. He made significant contributions to the field of computational complexity theory, particularly in the study of polynomial-time algorithms and circuit complexity. Karpinski's work has advanced our understanding of the inherent complexity of computational problems and has had a lasting impact on theoretical computer science.",Jacek Karpiński was a Polish pioneer in computer engineering and computer science.,"Developed the first differential analyzer using transistors; developed one of the first machine-learning algorithms for character and image recognition; invented of one of the first minicomputers, the K-202",1927,2010,Turin,Italy,Poland,20,1973,Personal Computing Revolution,"[""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Łódź University of Technology"", ""year"": 1948}, {""degree"": ""engineer's degree"", ""field"": null, ""institution"": ""Warsaw University of Technology"", ""year"": 1951}]","[{""name"": ""Officer of the Order of Polonia Restituta"", ""year"": 2009}, {""name"": ""Commander of the Order of Polonia Restituta"", ""year"": 2010}, {""name"": ""Cross of Valour"", ""year"": null}]","[{""name"": ""Polish Academy of Sciences"", ""role"": null, ""years"": ""1955–1961""}, {""name"": ""University of Warsaw"", ""role"": null, ""years"": null}, {""name"": ""Warel"", ""role"": null, ""years"": ""1951–1954""}]","[{""title"": ""K-202"", ""type"": ""other"", ""year"": 1970}, {""title"": ""AKAT-1"", ""type"": ""other"", ""year"": null}]",[],[],[],45.0703,7.6863,https://pioneersincs.blob.core.windows.net/pioneers-images/jacek_karpinski.webp
Charles P. Thacker,"Charles Patrick ""Chuck"" Thacker was an American pioneer computer designer","Charles P. Thacker (1943-2017) was an American computer scientist and hardware designer. He played a key role in the development of personal computing and graphical user interfaces. Thacker co-invented the Xerox Alto, one of the first computers to feature a graphical user interface. His contributions have had a lasting impact on computer design and human-computer interaction.","Charles Patrick ""Chuck"" Thacker was an American pioneer computer designer. He designed the Xerox Alto, which is the first computer that used a mouse-driven graphical user interface (GUI). In 2009, he won the ACM Turing Award.","American computer scientist and electrical engineer who made significant contributions to the development of personal computing and networking technologies. He was a key member of the team at Xerox PARC (Palo Alto Research Center) that developed the Alto, an early personal computer, and the Ethernet, a widely used networking technology. Thacker also played a crucial role in the development of the Xerox Star, one of the first commercial workstations with a graphical user interface. He received several prestigious awards for his contributions, including the Turing Award in 2009, for his pioneering work in the design and realization of computer systems and networks.",1943,2017,Pasadena,U.S.A,United States,20,1973,Personal Computing Revolution,"[""hardware"", ""communication"", ""networking""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of California, Berkeley"", ""year"": null}]","[{""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""Charles Stark Draper Prize"", ""year"": 2004}, {""name"": ""ACM Software System Award"", ""year"": 1984}, {""name"": ""honorary doctor of ETH Zürich"", ""year"": null}, {""name"": ""IEEE John von Neumann Medal"", ""year"": 2007}, {""name"": ""Eckert–Mauchly Award"", ""year"": 2017}, {""name"": ""Turing Award"", ""year"": 2009}, {""name"": ""Computer History Museum Fellow"", ""year"": null}]","[{""name"": ""PARC"", ""role"": null, ""years"": null}, {""name"": ""Digital Equipment Corporation"", ""role"": null, ""years"": null}]",[],[],[],"[""He designed the Xerox Alto, which is the first computer that used a mouse-driven graphical user interface (GUI)."", ""Charles Patrick \""Chuck\"" Thacker (February 26, 1943 – June 12, 2017) was an American pioneer computer designer.""]",34.1473,-118.1445,https://pioneersincs.blob.core.windows.net/pioneers-images/charles_p_thacker.webp
Dana Scott,Dana Stewart Scott is an American logician who is the Hillman University Professor emeritus of,"Dana Scott (born 1932) is an American mathematician and computer scientist. He is known for his contributions to the field of theoretical computer science, particularly in the area of semantics of programming languages. Scott's work on lambda calculus and denotational semantics has had a significant impact on the foundations of programming languages and mathematical logic.","Dana Stewart Scott is an American logician who is the Hillman University Professor emeritus of Computer Science, Philosophy, and Mathematical Logic at Carnegie Mellon University. He is now retired and lives in Berkeley, California. He and Michael O. Rabin won the 1976 ACM Turing Award for their work on automata theory, while his collaborative work with Christopher Strachey in the 1970s laid the foundations of modern approaches to the semantics of programming languages. He has also worked on modal logic, topology, and category theory.","The joint paper ""Finite Automata and Their Decision Problems,"" which introduced the idea of nondeterministic machines, which has proved to be an enormously valuable concept. Their (Scott & Rabin) classic paper has been a continuous source of inspiration for subsequent work in this field.",1932,,"Berkeley, California",U.S.A,,20,1976,Personal Computing Revolution,"[""formal models""]",male,[],[],[],[],[],[],"[""Rabin won the 1976 ACM Turing Award for their work on automata theory, while his collaborative work with Christopher Strachey in the 1970s laid the foundations of modern approaches to the semantics of programming languages.""]",37.8714,-122.27309,https://pioneersincs.blob.core.windows.net/pioneers-images/dana_scott.webp
Adi Shamir,Adi Shamir is an Israeli cryptographer and inventor,"Adi Shamir (born 1952) is an Israeli cryptographer and computer scientist. He is one of the co-creators of the RSA encryption algorithm, along with Ron Rivest and Leonard Adleman. Shamir has made significant contributions to the field of cryptography, particularly in the areas of secret sharing and the development of various cryptographic protocols.","Adi Shamir is an Israeli cryptographer and inventor. He is a co-inventor of the Rivest–Shamir–Adleman (RSA) algorithm, a co-inventor of the Feige–Fiat–Shamir identification scheme, one of the inventors of differential cryptanalysis and has made numerous contributions to the fields of cryptography and computer science. In 2002, Ron Rivest, Len Adleman, and he won the ACM Turing Award.","He is one of the pioneers of modern cryptography and is best known as a co-inventor of the RSA encryption algorithm, along with Ron Rivest and Leonard Adleman. Shamir has made significant contributions to the field of computer science, particularly in the areas of cryptography, computer security, and algorithms. His work has had a profound impact on the field and has been instrumental in ensuring the security of digital communication and transactions.",1952,,Tel Aviv,Israel,Israel,20,1977,Personal Computing Revolution,"[""cryptography"", ""computer security""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Warwick"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Weizmann Institute of Science"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Tel Aviv University"", ""year"": null}]","[{""name"": ""honorary doctorate from ENS"", ""year"": 2003}, {""name"": ""IEEE W.R.G. Baker Award"", ""year"": 1986}, {""name"": ""Japan Prize"", ""year"": 2017}, {""name"": ""ACM Fellow"", ""year"": 2020}, {""name"": ""Israel Prize"", ""year"": 2008}, {""name"": ""Okawa Prize"", ""year"": 2008}, {""name"": ""Wolf Prize in Mathematics"", ""year"": 2024}, {""name"": ""BBVA Foundation Frontiers of Knowledge Award"", ""year"": 2017}, {""name"": ""honorary doctorate from the University of Waterloo"", ""year"": null}, {""name"": ""Anna and Lajos Erdős Prize in Mathematics"", ""year"": 1983}, {""name"": ""Paris Kanellakis Award"", ""year"": 1996}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2018}, {""name"": ""Foreign Member of the Royal Society"", ""year"": 2018}, {""name"": ""IEEE Koji Kobayashi Computers and Communications Award"", ""year"": 2000}, {""name"": ""Grand Prize of the French Academy of Science"", ""year"": 2012}, {""name"": ""IACR Fellow"", ""year"": 2004}, {""name"": ""National Cyber Security Hall of Fame"", ""year"": 2012}, {""name"": ""Fellow of the American Academy of Arts and Sciences"", ""year"": 2022}, {""name"": ""Turing Award"", ""year"": 2002}, {""name"": ""Rothschild Prize"", ""year"": null}, {""name"": ""honorary doctor of the Shandong  University"", ""year"": 2010}]","[{""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}, {""name"": ""Tel Aviv University"", ""role"": null, ""years"": null}]",[],[],[],"[""In 2002, Ron Rivest, Len Adleman, and he won the ACM Turing Award.""]",32.0854,34.7814,https://pioneersincs.blob.core.windows.net/pioneers-images/adi_shamir.webp
Bob Kahn,"Robert Elliot Kahn is an American electrical engineer who, along with Vint Cerf, first proposed","Bob Kahn (born 1938) is an American electrical engineer and computer scientist. He co-developed the TCP/IP protocols, which revolutionized data transmission over computer networks and laid the foundation for the modern internet. Kahn has received numerous awards for his contributions to computer networking and is widely recognized as one of the key architects of the internet.","Robert Elliot Kahn is an American electrical engineer who, along with Vint Cerf, first proposed the Transmission Control Protocol (TCP) and the Internet Protocol (IP), the fundamental communication protocols at the heart of the Internet.","Designed the Transmission Control Protocol and Internet Protocol (TCP/IP), the primary data communication protocols of the Internet and other computer networks",1938,,New York City,U.S.A,United States,20,1978,Personal Computing Revolution,"[""internet""]",male,"[{""degree"": ""master's degree"", ""field"": null, ""institution"": ""Princeton University"", ""year"": 1962}, {""degree"": ""bachelor's degree"", ""field"": null, ""institution"": ""City College of New York"", ""year"": 1960}, {""degree"": ""doctorate"", ""field"": null, ""institution"": ""Princeton University"", ""year"": 1964}]","[{""name"": ""Benjamin Franklin Medal"", ""year"": null}, {""name"": ""Computer Pioneer Award"", ""year"": 1996}, {""name"": ""Presidential Medal of Freedom"", ""year"": 2005}, {""name"": ""Webby Lifetime Achievement Award"", ""year"": 2006}, {""name"": ""honorary doctor of ETH Zürich"", ""year"": null}, {""name"": ""National Medal of Technology and Innovation"", ""year"": 1997}, {""name"": ""Charles Stark Draper Prize"", ""year"": 2001}, {""name"": ""ACM Fellow"", ""year"": 2001}, {""name"": ""Princess of Asturias Awards"", ""year"": null}, {""name"": ""Japan Prize"", ""year"": 2008}, {""name"": ""Harold Pender Award"", ""year"": 2010}, {""name"": ""Marconi Prize"", ""year"": 1994}, {""name"": ""SIGCOMM Award"", ""year"": 1993}, {""name"": ""Turing Award"", ""year"": 2004}, {""name"": ""Harry H. Goode Memorial Award"", ""year"": 1986}, {""name"": ""Queen Elizabeth Prize for Engineering"", ""year"": 2013}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2006}, {""name"": ""James Madison Medal"", ""year"": 2023}, {""name"": ""EFF Award"", ""year"": 1992}, {""name"": ""IEEE Alexander Graham Bell Medal"", ""year"": 1997}, {""name"": ""ACM Software System Award"", ""year"": 1991}, {""name"": ""IEEE Koji Kobayashi Computers and Communications Award"", ""year"": 1992}, {""name"": ""Computer History Museum Fellow"", ""year"": null}, {""name"": ""honorary doctorate from Princeton University"", ""year"": null}, {""name"": ""Princess of Asturias Award for Technical and Scientific Research"", ""year"": 2002}, {""name"": ""Internet Hall of Fame"", ""year"": 2012}, {""name"": ""AAAI Fellow"", ""year"": 1990}, {""name"": ""IEEE Medal of Honor"", ""year"": null}]","[{""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}]","[{""title"": ""Transmission Control Protocol"", ""type"": ""other"", ""year"": null}, {""title"": ""Internet protocol suite"", ""type"": ""other"", ""year"": null}]",[],[],[],40.6784,-73.94429,https://pioneersincs.blob.core.windows.net/pioneers-images/bob_kahn.webp
Alexander Stepanov,"Alexander Alexandrovich Stepanov is a Russian-American computer programmer, best known as an advocate of generic",Alexander Stepanov (born 1950) is a Russian-American computer scientist and mathematician. He is known for his work in the development of the Standard Template Library (STL) and his contributions to generic programming. Stepanov's work on generic programming concepts and algorithms has had a significant impact on the field of software engineering and programming languages.,"Alexander Alexandrovich Stepanov is a Russian-American computer programmer, best known as an advocate of generic programming and as the primary designer and implementer of the C++ Standard Template Library, which he started to develop around 1992 while employed at HP Labs. He had earlier been working for Bell Labs close to Andrew Koenig and tried to convince Bjarne Stroustrup to introduce something like Ada generics in C++. He is credited with the notion of concept.",Known for his work on generic programming and the development of the Standard Template Library (STL). He is widely recognized for his contributions to the C++ programming language and his efforts in promoting the use of generic algorithms and data structures. Stepanov's work has had a profound impact on software development practices and has helped improve the efficiency and reliability of programming. He has received several awards and honors for his contributions to the field of computer science.,1950,,Moscow,Russia,,20,1981,Personal Computing Revolution,"[""algorithms""]",male,[],[],[],[],[],[],"[""He is the author (with Paul McJones) of Elements of Programming, a book that grew out of a \""Foundations of Programming\"" course that Stepanov taught at Adobe Systems (while employed there).""]",55.7554,37.6173,https://pioneersincs.blob.core.windows.net/pioneers-images/alexander_stepanov.webp
Michael Stonebraker,Michael Ralph Stonebraker is an American computer scientist specializing in database systems,"Michael Stonebraker (born 1943) is an American computer scientist and database technology pioneer. He has made significant contributions to the field of database management systems, including the development of INGRES, Postgres, and VoltDB. Stonebraker's work has greatly influenced the design and functionality of modern database systems, earning him numerous awards and honors.","Michael Ralph Stonebraker is an American computer scientist specializing in database systems. Through a series of academic prototypes and commercial startups, Stonebraker's research and products are central to many relational databases. He is also the founder of many database companies, including Ingres Corporation, Illustra, Paradigm4, StreamBase Systems, Tamr, Vertica, VoltDB and Hopara, and served as chief technical officer of Informix. For his contributions to database research, Stonebraker received the 2014 Turing Award, often described as ""the Nobel Prize for computing.""",Revolutionized the field of database management systems (DBMSs) and founded multiple successful database companies,1943,,Milton,U.S.A,United States,20,1982,Personal Computing Revolution,"[""database management systems""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Princeton University"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""University of Michigan"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""The Governor's Academy"", ""year"": null}]","[{""name"": ""Turing Award"", ""year"": 2014}, {""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""ACM Software System Award"", ""year"": 1988}, {""name"": ""SIGMOD Edgar F. Codd Innovations Award"", ""year"": 1992}, {""name"": ""IEEE John von Neumann Medal"", ""year"": 2005}]","[{""name"": ""University of California, Berkeley"", ""role"": null, ""years"": null}]","[{""title"": ""Ingres"", ""type"": ""other"", ""year"": null}]",[],[],"[""Stonebraker is currently a professor emeritus at UC Berkeley and an adjunct professor emeritus at MIT's Computer Science and Artificial Intelligence Laboratory."", ""He is also known as an editor for the book Readings in Database Systems.""]",42.8124,-70.8774,https://pioneersincs.blob.core.windows.net/pioneers-images/michael_stonebraker.webp
Stephen Furber,"Stephen Byram Furber is an English computer scientist, mathematician and hardware engineer, and Emeritus ICL","Stephen Furber (born 1953) is a British computer scientist and one of the pioneers of the field of neuromorphic engineering. He led the team that designed and developed the SpiNNaker (Spiking Neural Network Architecture) system, a massively parallel computer architecture inspired by the human brain. Furber's work has advanced the understanding and implementation of brain-inspired computing.","Stephen Byram Furber is an English computer scientist, mathematician and hardware engineer, and Emeritus ICL Professor of Computer Engineering in the Department of Computer Science at the University of Manchester, UK. After completing his education at the University of Cambridge, he spent the 1980s at Acorn Computers, where he was a principal designer of the BBC Micro and the ARM 32-bit RISC microprocessor. As of 2023, over 250 billion ARM chips have been manufactured, powering much of the world's mobile computing and embedded systems, everything from sensors to smartphones to servers.","Known for his work in computer architecture. He co-designed the ARM microprocessor architecture, widely used in electronic devices. Furber led the SpiNNaker project for brain simulation and has made contributions to neural engineering, advancing the fields of computational neuroscience and neuromorphic systems.",1953,,Manchester,United Kingdom,United Kingdom,20,1985,Internet Age,"[""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Emmanuel College"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""The Manchester Grammar School"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""St John's College"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""University of Cambridge"", ""year"": null}]","[{""name"": ""Lovelace Medal"", ""year"": 2014}, {""name"": ""Faraday Medal"", ""year"": 2007}, {""name"": ""Commander of the Order of the British Empire"", ""year"": null}, {""name"": ""Fellow of the Royal Society"", ""year"": 2002}, {""name"": ""Fellow of the Institution of Engineering and Technology"", ""year"": null}, {""name"": ""Fellow of the Royal Academy of Engineering"", ""year"": null}, {""name"": ""Fellow of the British Computer Society"", ""year"": null}, {""name"": ""IEEE Fellow"", ""year"": null}, {""name"": ""Charles Stark Draper Prize"", ""year"": 2022}, {""name"": ""IEEE Masaru Ibuka Consumer Electronics Award"", ""year"": 2024}, {""name"": ""Computer History Museum Fellow"", ""year"": null}, {""name"": ""Computer Pioneer Award"", ""year"": 2013}, {""name"": ""Mullard Award"", ""year"": 2016}]","[{""name"": ""University of Manchester"", ""role"": null, ""years"": null}]","[{""title"": ""ARM architecture"", ""type"": ""other"", ""year"": null}]",[],[],[],53.4804,-2.2426,https://pioneersincs.blob.core.windows.net/pioneers-images/stephen_furber.webp
Radia Perlman,Radia Joy Perlman is an American computer programmer and network engineer,"Radia Perlman (born 1951) is an American computer scientist known as the ""Mother of the Internet"" for her work in the development of the Spanning Tree Protocol (STP) and her contributions to the field of network routing and bridging. Perlman's work has been instrumental in the scalability and reliability of modern computer networks.","Radia Joy Perlman is an American computer programmer and network engineer. She is a major figure in assembling the networks and technology to enable what we now know as the Internet. She is most famous for her invention of the Spanning Tree Protocol (STP), which is fundamental to the operation of network bridges, while working for Digital Equipment Corporation, thus earning her nickname ""Mother of the Internet"" a title that she did not like. Her innovations have made a huge impact on how networks self-organize and move data. She also made large contributions to many other areas of network design and standardization – for example, enabling today's link-state routing protocols to be more robust, scalable, and easy to manage.","Invented the Spanning Tree Protocol (STP), which is fundamental to the operation of network bridges, while working for Digital Equipment Corporation. Has done extensive and innovative research, particularly on encryption and networking. She received the USENIX Lifetime Achievement Award in 2007, among numerous others.",1951,,Portsmouth,U.S.A,United States,20,1985,Internet Age,"[""algorithms""]",female,"[{""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""Massachusetts Institute of Technology"", ""year"": 1988}, {""degree"": ""Master of Science"", ""field"": null, ""institution"": ""Massachusetts Institute of Technology"", ""year"": null}]","[{""name"": ""ACM Fellow"", ""year"": 2016}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2016}, {""name"": ""SIGCOMM Award"", ""year"": 2010}, {""name"": ""IEEE Eric E. Sumner Award"", ""year"": 2023}, {""name"": ""Anita Borg Institute Women of Vision Awards"", ""year"": 2005}, {""name"": ""Internet Hall of Fame"", ""year"": 2014}]","[{""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}, {""name"": ""Sun Microsystems"", ""role"": null, ""years"": null}, {""name"": ""Dell EMC"", ""role"": null, ""years"": null}, {""name"": ""BBN Technologies"", ""role"": null, ""years"": null}]","[{""title"": ""computer literacy"", ""type"": ""other"", ""year"": null}, {""title"": ""Spanning Tree Protocol"", ""type"": ""other"", ""year"": 1985}]",[],[],"[""More recently, she has invented the TRILL protocol to correct some of the shortcomings of spanning trees, allowing Ethernet to make optimal use of bandwidth.""]",36.8355,-76.2984,https://pioneersincs.blob.core.windows.net/pioneers-images/radia_perlman.webp
